Metadata_cell_type,Metadata_treatment,Metadata_stimulation,Metadata_Plate,Metadata_Well,Metadata_Site_Count,Metadata_Object_Count,lower_outlier_cellSpecific,corrupted
primary smc,siIFNA1,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,G11,25,6034,,
primary smc,untreated,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,B02,25,7860,,
primary smc,untreated,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,B03,25,7821,,
primary smc,untreated,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,B04,25,7341,,1
primary smc,untreated,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,B05,25,8483,,
primary smc,untreated,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,B06,25,8297,,
primary smc,untreated,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,B07,25,7586,,
primary smc,untreated,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,B08,25,7601,,
primary smc,untreated,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,B09,25,7567,,
primary smc,untreated,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,B10,25,8447,,
primary smc,untreated,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,B11,25,7883,,
primary smc,nontargeting control,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,C02,25,4832,,
primary smc,nontargeting control,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,C03,25,4959,,
primary smc,nontargeting control,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,C04,25,5250,,1
primary smc,nontargeting control,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,C05,25,4994,,1
primary smc,nontargeting control,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,C06,25,5661,,
primary smc,nontargeting control,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,C07,25,5507,,
primary smc,nontargeting control,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,C08,25,5991,,
primary smc,nontargeting control,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,C09,25,5917,,
primary smc,nontargeting control,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,C10,25,5935,,
primary smc,nontargeting control,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,C11,25,6188,,
primary smc,siMTAP,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,D02,25,4978,,
primary smc,siMTAP,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,D03,25,4950,,
primary smc,siMTAP,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,D04,25,4518,,1
primary smc,siMTAP,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,D05,25,5509,,
primary smc,siMTAP,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,D06,25,5349,,
primary smc,siMTAP,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,D07,25,5514,,
primary smc,siMTAP,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,D08,25,5396,,
primary smc,siMTAP,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,D09,25,5116,,
primary smc,siMTAP,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,D10,25,5305,,
primary smc,siMTAP,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,D11,25,5049,,
primary smc,siANRIL,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,E02,25,5041,,
primary smc,siANRIL,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,E03,25,5027,,1
primary smc,siANRIL,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,E04,25,5555,,1
primary smc,siANRIL,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,E05,25,5643,,
primary smc,siANRIL,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,E06,25,6202,,
primary smc,siANRIL,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,E07,25,5814,,
primary smc,siANRIL,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,E08,25,6138,,
primary smc,siANRIL,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,E09,25,6114,,
primary smc,siANRIL,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,E10,25,6028,,
primary smc,siANRIL,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,E11,25,6110,,
primary smc,siALL,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,F02,25,6365,,1
primary smc,siALL,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,F03,25,7285,,
primary smc,siALL,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,F04,25,5906,,1
primary smc,siALL,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,F05,25,6417,,1
primary smc,siALL,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35,F06,25,7353,,
