"features","Compartment","Channel","Measure"
"Cells_Mean_LargeBODIPYObjects_AreaShape_MedianRadius","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_MinFeretDiameter","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_MinorAxisLength","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Orientation","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Perimeter","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Solidity","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_0_0","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_1_1","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_2_0","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_2_2","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_3_1","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_3_3","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_4_0","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_4_2","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_4_4","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_5_1","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_5_3","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_5_5","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_6_0","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
"Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_6_2","Cells","BODIPYRNA","Location/Shape/Size/
Neighbor/Count"
